player_id,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8475191,2021,18.73,17.79,13,9,150,49,51,250,38,16,11,134,4,55,29
8475193,2021,16.53,15.81,8,7,132,59,53,244,30,15,8,117,19,75,27
8475197,2021,6.11,5.88,17,17,149,51,97,297,41,7,9,142,0,27,14
8475200,2021,7.39,7.3,14,9,127,47,64,238,35,12,11,115,0,124,37
8475208,2021,3.9,3.66,4,11,91,44,50,185,18,3,7,88,0,88,34
8475209,2021,0.67,0.61,1,0,4,4,2,10,1,0,0,4,1,9,1
8475218,2021,9.22,9.03,12,13,145,68,98,311,31,6,13,139,0,79,29
8475220,2021,17.67,17.38,15,4,99,35,29,163,42,23,9,76,12,238,28
8475225,2021,15.73,15.36,14,6,187,61,70,318,36,16,21,171,4,95,21
8475227,2021,2.72,2.5,12,11,76,24,48,148,27,4,3,72,0,44,13
8475231,2021,9.78,9.71,4,2,91,37,19,147,16,10,8,81,534,138,33
8475233,2021,4.69,4.45,5,9,66,22,39,127,17,3,8,63,0,134,7
8475235,2021,9.9,9.91,3,2,90,33,35,158,13,8,9,82,1,263,7
8475236,2021,5.38,5.14,2,6,74,20,23,117,12,4,4,70,482,33,22
8475246,2021,1.44,1.42,1,1,30,9,28,67,3,1,2,29,0,74,6
8475279,2021,6.13,5.73,11,6,143,34,91,268,26,9,12,134,0,157,20
8475287,2021,16.08,15.7,14,12,141,43,33,217,44,18,6,123,434,129,25
8475314,2021,24.07,22.2,11,7,159,69,38,266,46,28,22,131,65,94,16
8475324,2021,3.97,3.84,7,9,88,53,63,204,21,5,3,83,0,135,23
8475343,2021,9.61,9.37,11,3,90,23,22,135,24,10,8,80,506,139,28
8475413,2021,2.11,2.15,2,0,17,5,6,28,4,2,2,15,21,10,4
8475455,2021,4.18,4.12,5,12,85,45,73,203,20,3,5,82,0,212,16
8475461,2021,0.03,0.02,0,0,1,0,0,1,0,0,0,1,1,4,0
8475462,2021,4.09,4.09,7,6,100,44,78,222,16,3,6,97,0,355,28
8475625,2021,0.64,0.64,0,3,29,7,13,49,4,1,2,28,0,36,2
8475690,2021,3.21,3.15,11,11,88,41,51,180,28,6,8,82,0,52,29
8475692,2021,14.81,14.22,37,18,159,44,65,268,79,24,10,135,21,36,48
8475714,2021,11.72,11.19,7,11,101,41,33,175,30,12,8,89,239,38,27
8475718,2021,3.46,3.27,6,14,64,26,38,128,23,3,3,61,0,129,18
8475722,2021,9.93,9.7,5,4,102,25,19,146,17,8,10,94,4,66,15
8475726,2021,20.81,19.72,17,12,195,63,71,329,49,20,8,175,18,81,27
8475728,2021,4.86,4.84,5,9,44,21,23,88,21,7,0,37,195,70,13
8475735,2021,3.16,3.06,2,1,25,6,7,38,5,2,0,23,72,50,14
8475744,2021,23.03,22.56,34,20,208,81,56,345,78,24,11,184,507,42,54
8475745,2021,18.73,15.99,16,12,131,54,29,214,44,16,18,115,540,84,39
8475747,2021,2.4,2.34,4,1,52,26,36,114,7,2,2,50,0,115,11
8475750,2021,2.2,2.15,7,9,59,24,35,118,20,4,2,55,0,46,6
8475752,2021,4.34,4.19,2,2,38,19,23,80,5,1,6,37,5,70,14
8475753,2021,9.99,9.81,8,23,167,52,99,318,47,16,10,151,0,149,37
8475754,2021,19.8,19.42,14,8,171,40,68,279,59,37,14,134,476,31,49
8475760,2021,10.12,9.89,2,4,82,25,23,130,13,7,11,75,141,99,18
8475762,2021,2,1.99,3,7,64,26,42,132,14,4,5,60,0,133,15
8475763,2021,9.34,9.11,13,8,126,34,49,209,31,10,9,116,260,36,30
8475764,2021,9.21,9.01,16,17,124,46,130,300,42,9,8,115,0,37,31
8475765,2021,25.26,25.03,27,21,230,75,77,382,82,34,13,196,4,83,17
8475766,2021,8.85,8.58,5,1,88,31,29,148,16,10,11,78,7,213,15
8475768,2021,8.92,8.63,10,5,101,39,28,168,23,8,5,93,17,42,28
8475772,2021,6.54,6.43,8,5,69,20,20,109,17,4,4,65,263,16,18
8475780,2021,0.17,0.17,0,0,2,1,0,3,0,0,0,2,0,11,0
8475784,2021,29.39,28.13,23,7,262,69,75,406,63,33,17,229,91,29,51
8475786,2021,34.26,32.66,18,9,213,80,60,353,54,27,25,186,41,74,29
8475790,2021,3.61,3.6,5,6,129,52,87,268,17,6,8,123,0,145,20
8475791,2021,20.58,19.88,27,14,217,44,61,322,61,20,13,197,18,55,33
8475792,2021,0.6,0.61,1,0,6,3,4,13,1,0,0,6,0,7,2
8475793,2021,16.3,15.54,14,23,118,35,29,182,63,26,8,92,691,72,39
8475794,2021,22.88,22.2,17,8,218,62,65,345,49,24,10,194,464,96,26
8475796,2021,3.25,3.18,3,6,64,35,27,126,12,3,2,61,0,41,21
8475797,2021,0.16,0.16,0,0,5,4,6,15,1,1,0,4,0,17,0
8475798,2021,14.63,14.07,27,26,117,48,54,219,64,11,12,106,569,92,57
8475799,2021,23.55,22.45,11,9,144,62,37,243,44,24,25,120,19,119,21
8475810,2021,25.45,23.72,22,12,180,72,50,302,58,24,14,156,1,43,22
8475820,2021,10.19,9.95,7,13,89,35,31,155,22,2,2,87,5,36,24
8475825,2021,2.63,2.32,3,5,68,31,59,158,12,4,5,64,0,248,9
8475842,2021,8.32,8,2,6,80,34,25,139,19,11,4,69,204,122,14
8475848,2021,17.66,16.89,12,5,142,52,56,250,24,7,14,135,13,54,17
8475855,2021,15.65,15.12,15,5,97,45,29,171,34,14,6,83,12,109,17
8475906,2021,6.98,6.68,24,17,139,70,152,361,47,6,14,133,0,57,16
8475913,2021,11.04,10.79,15,6,71,23,24,118,30,9,6,62,13,19,56
8475958,2021,1.78,1.71,2,0,11,2,1,14,4,2,1,9,41,7,1
8475968,2021,0.62,0.62,0,0,13,1,5,19,0,0,0,13,8,17,3
8476278,2021,7.71,7.36,4,6,77,19,30,126,20,10,6,67,83,91,18
8476285,2021,0.13,0.12,0,1,3,1,4,8,1,0,0,3,5,3,0
8476288,2021,3.86,3.67,3,0,32,13,13,58,8,5,3,27,65,20,13
8476292,2021,18.39,18.17,18,13,143,54,51,248,49,18,9,125,2,123,30
8476312,2021,4.67,4.56,4,6,92,30,50,172,16,6,5,86,0,179,38
8476323,2021,0.69,0.69,0,0,8,5,2,15,0,0,1,8,2,11,2
8476326,2021,0.31,0.29,1,0,4,2,3,9,1,0,0,4,2,27,3
8476329,2021,12.95,12.32,11,7,88,43,24,155,35,17,6,71,420,71,20
8476331,2021,3.48,3.27,6,6,78,20,43,141,13,1,7,77,0,113,17
8476345,2021,2.89,2.79,2,3,33,3,15,51,7,2,1,31,0,23,7
8476346,2021,27.93,27.61,52,23,262,86,115,463,115,40,19,222,1,10,50
8476368,2021,0.1,0.1,0,0,4,3,4,11,0,0,1,4,0,12,1
8476372,2021,1.21,1.17,0,2,32,16,19,67,3,1,1,31,0,75,4
8476374,2021,14.2,13.4,3,13,121,40,29,190,30,14,5,107,628,240,35
8476389,2021,25.09,24.16,16,14,168,86,46,300,51,21,14,147,680,185,50
8476390,2021,0.07,0.07,0,1,1,0,0,1,1,0,0,1,0,1,1
8476391,2021,0.04,0.04,0,0,3,0,1,4,0,0,0,3,6,1,0
8476392,2021,18.35,17.18,6,2,115,48,31,194,21,13,14,102,564,231,39
8476393,2021,11.08,10.92,7,6,103,40,28,171,22,9,9,94,23,66,16
8476396,2021,0.14,0.14,0,0,2,0,0,2,0,0,0,2,7,0,1
8476399,2021,20.8,20.31,9,8,212,56,61,329,33,16,13,196,2,163,34
8476400,2021,1.41,1.32,1,1,17,3,2,22,3,1,0,16,58,11,11
8476404,2021,0.3,0.28,0,0,6,2,1,9,1,1,0,5,9,11,1
8476410,2021,1.31,1.25,1,1,10,4,0,14,3,1,1,9,0,4,0
8476415,2021,0.04,0.04,0,0,3,0,2,5,0,0,0,3,1,6,0
8476419,2021,14.21,13.79,10,11,126,43,30,199,39,18,8,108,748,171,30
8476422,2021,5.5,5.32,6,7,135,43,52,230,17,4,5,131,0,94,19
8476428,2021,0.88,0.86,0,0,8,2,3,13,0,0,1,8,6,5,5
8476429,2021,3.55,3.52,8,7,80,45,77,202,18,3,4,77,0,77,15
8476432,2021,21.51,20.19,11,10,160,61,45,266,44,23,9,137,642,80,33
8476436,2021,2.15,2.07,1,0,23,10,10,43,1,0,1,23,5,47,3
8476437,2021,5.58,5.52,6,6,58,21,16,95,21,9,6,49,89,15,14
8476438,2021,20.75,20,17,8,158,40,38,236,49,24,14,134,8,20,45
8476439,2021,4.88,4.7,1,0,55,20,16,91,4,3,2,52,1,78,3
8476441,2021,1.18,1.12,2,1,32,9,18,59,6,3,2,29,0,61,5
8476442,2021,7.95,7.86,8,3,82,24,14,120,17,6,4,76,2,96,21
8476448,2021,15.33,14.95,12,11,135,57,45,237,35,12,15,123,508,42,44
8476449,2021,0.1,0.1,0,1,5,2,2,9,1,0,1,5,0,8,2
8476453,2021,16.46,16.18,27,17,156,58,62,276,69,25,8,131,1,32,24
8476454,2021,15.14,14.49,22,17,154,30,47,231,50,11,8,143,178,42,43
8476455,2021,21.84,20.83,16,13,150,44,57,251,59,30,14,120,241,94,17
8476456,2021,27.52,26.34,53,32,222,58,64,344,115,30,23,192,18,99,63
8476457,2021,4.5,4.42,10,7,119,55,86,260,25,8,9,111,0,183,23
8476458,2021,17.26,16.89,18,15,161,55,41,257,54,21,10,140,363,41,32
8476459,2021,28.61,26.67,33,19,219,94,70,383,81,29,16,190,700,67,62
8476460,2021,20.43,19.66,23,18,159,56,49,264,70,29,17,130,430,36,49
8476461,2021,9.17,8.82,8,3,79,29,28,136,17,6,9,73,238,22,25
